Model,Training_Samples,Feature_Dimension,Model_Type,F1-Score,ROC-AUC
AE,1254249,194,Deep Learning,0.7834097753981221,0.9847798882313399
IF,1318020,100,Tree-based,0.4110827903206885,0.9508590866869113
AE+IF,50000,32,Hybrid,0.6724709643409799,0.9842226267942882
LOF,50000,100,Distance-based,0.3112214419413506,0.7670358282848025
AE+LOF,50000,32,Hybrid,0.3160334969980334,0.7867348925374684
SVM,60000,100,Kernel-based,0.872487629723694,0.9967971639910989
AE+SVM,60000,32,Hybrid,0.8664027493800844,0.9968339949320335
