,ROC-AUC,PR-AUC,F1-Score,Accuracy,Precision,Recall
AE,0.9847798882313399,0.5861690836828288,0.7834097753981221,0.9732860382342515,0.6445646540554548,0.9984946560289026
IF,0.9508590866869113,0.4068849061600915,0.4110827903206885,0.8659300479263479,0.26101736233375766,0.967083145165337
AE+IF,0.9842226267942882,0.6065866411165188,0.6724709643409799,0.9532366066009197,0.508590976902104,0.9921722113502935
LOF,0.7670358282848025,0.4607219454678145,0.3112214419413506,0.8740294550380935,0.2115884476534296,0.5881880676401224
AE+LOF,0.7867348925374684,0.4497847395498068,0.3160334969980334,0.8724950349857483,0.21340626868821894,0.6088112800441567
SVM,0.9967971639910989,0.9254900992415921,0.872487629723694,0.9858600278720604,0.7739366867352884,0.9997992874705204
AE+SVM,0.9968339949320335,0.9248730746176423,0.8664027493800844,0.9850879620862286,0.7646765214052601,0.9993476842791911
